timestamp_c,frame.number,frame.len,frame.protocols,wlan.duration,wlan.ra,wlan.ta,wlan.da,wlan.sa,wlan.bssid,wlan.frag,wlan.seq,llc.type,ip.hdr_len,ip.len,ip.id,ip.flags,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq_raw,tcp.ack_raw,tcp.hdr_len,tcp.flags,tcp.window_size,tcp.options,udp.srcport,udp.dstport,udp.length,data.data,data.len,wlan.fc.type,wlan.fc.subtype,time_since_last_packet,class
28105.9752,60,24,0,0,1,1,1,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,benign
28105.9755,61,24,0,0,1,1,1,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.000298,benign
28107.09931,75,104,0,0,4,1,4,1,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.123815,benign
28114.7857,122,86,2,44,1,0,1,0,0,0,14,2048,20,52,39340,64,128,6,2,4,62951,53,723862127,0,32,2,64240,1,0,0,0,0,0,2,8,7.686387,benign
28114.88188,124,26,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.096183,benign
28114.98812,128,26,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.106243,benign
28115.002,130,86,2,44,1,0,1,0,0,0,16,2048,20,52,39341,64,128,6,2,4,55125,53,4045876660,0,32,2,64240,1,0,0,0,0,0,2,8,0.013873,benign
28115.18882,133,26,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.186824,benign
28115.21483,135,86,2,44,1,0,1,0,0,0,17,2048,20,52,39342,64,128,6,2,4,51533,53,594698260,0,32,2,64240,1,0,0,0,0,0,2,8,0.026011,benign
28118.33192,152,225,3,44,0,1,0,1,0,0,32,2048,20,191,31,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,171,154,163,2,8,3.117092,benign
28118.36318,154,26,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.031255,benign
28118.42292,161,86,2,44,1,0,1,0,0,0,73,2048,20,52,39353,64,128,6,2,4,59299,53,896820386,0,32,2,64240,1,0,0,0,0,0,2,8,0.059739,benign
28118.43395,163,225,3,44,0,1,0,1,0,0,33,2048,20,191,32,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,171,153,163,2,8,0.011028,benign
